City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
185,Kvitok,RU,56.0724,98.4813,3.67,93,97,3.18,overcast clouds
186,Richards Bay,ZA,-28.783,32.0377,75.27,90,84,1.25,broken clouds
187,Tanabe,JP,33.7333,135.3667,50.0,71,75,3.44,broken clouds
188,Bunia,CD,1.5667,30.25,68.54,61,100,3.09,overcast clouds
189,Derzhavinsk,KZ,51.1,66.3167,28.38,97,100,9.37,overcast clouds
190,Corn Island,NI,12.1694,-83.0418,79.97,81,100,9.1,overcast clouds
191,Sevlievo,BG,43.0258,25.1136,41.0,100,59,1.41,fog
192,Nawa,IN,27.0167,75.0,49.71,53,0,3.36,clear sky
193,Butaritari,KI,3.0707,172.7902,81.39,80,93,17.76,light rain
194,Carnot,CF,4.9409,15.8665,70.05,27,23,2.91,few clouds
195,Ko Samui,TH,9.5357,99.9357,80.22,79,76,13.09,broken clouds
196,Port Alfred,ZA,-33.5906,26.891,69.01,93,100,14.92,overcast clouds
197,Cherskiy,RU,68.75,161.3,-14.53,77,30,0.98,scattered clouds
198,Bay City,US,43.5945,-83.8889,17.6,79,90,17.27,light snow
199,Vanavara,RU,60.34,102.2797,0.01,93,100,6.06,overcast clouds
200,Severo-Kurilsk,RU,50.6789,156.125,16.48,81,81,4.99,broken clouds
201,La Ronge,CA,55.1001,-105.2842,-20.2,69,73,11.5,broken clouds
202,Ambilobe,MG,-13.2,49.05,73.6,92,99,2.35,light rain
203,Eufaula,US,31.8913,-85.1455,46.4,87,90,2.1,moderate rain
204,Mezen,RU,65.8522,44.24,-4.0,91,100,9.13,overcast clouds
205,Kuruman,ZA,-27.4524,23.4325,66.0,92,0,4.16,clear sky
206,Lyman,UA,48.9884,37.8023,21.11,86,1,12.84,clear sky
207,Shimoda,JP,34.6667,138.95,55.4,41,75,13.8,broken clouds
208,Uvira,CD,-3.4067,29.1458,72.39,61,40,3.78,light rain
209,Lavrentiya,RU,65.5833,-171.0,3.65,93,100,13.38,light snow
210,Verkhnevilyuysk,RU,63.4453,120.3167,-41.3,80,32,3.22,scattered clouds
211,Autazes,BR,-3.5797,-59.1306,77.11,90,100,0.45,light rain
212,Hanyang,CN,32.1371,105.5126,44.06,70,0,1.5,clear sky
213,Luderitz,NA,-26.6481,15.1594,70.23,51,0,21.12,clear sky
214,Raga,SS,8.4596,25.678,65.89,26,59,7.49,broken clouds
215,Mayumba,GA,-3.432,10.6554,78.44,83,99,2.84,overcast clouds
216,Champerico,GT,14.3,-91.9167,80.6,78,75,9.22,broken clouds
217,Akureyri,IS,65.6835,-18.0878,32.0,64,20,4.61,few clouds
218,Bac Lieu,VN,9.285,105.7244,78.3,73,97,17.69,overcast clouds
219,Griffith,US,41.5284,-87.4237,14.0,67,1,16.11,clear sky
220,Roma,US,43.2128,-75.4557,30.99,86,90,10.36,light snow
221,Batagay-Alyta,RU,67.8006,130.4114,-26.16,83,100,1.43,overcast clouds
222,Bathsheba,BB,13.2167,-59.5167,78.8,57,20,18.41,few clouds
