City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
405,Vaitape,PF,81.72,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
407,Noumea,NC,86.0,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
414,Souillac,MU,77.0,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
416,Savalou,BJ,80.22,broken clouds,7.9281,1.9756,Hotel F&F
418,Nakhon Si Thammarat,TH,77.0,few clouds,8.25,100.0,ร้านไอซ์โมสีshop
421,Bodden Town,KY,79.0,light rain,19.2833,-81.25,Will T Place
425,Algiers,DZ,75.2,few clouds,36.7525,3.042,Sofitel Algiers Hamma Garden
427,Apam,GH,80.04,broken clouds,5.2848,-0.7371,Spanish Villa
431,Dingle,PH,80.94,light rain,10.9995,122.6711,SEGAYA PROPERTY
442,Jacareacanga,BR,75.92,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
445,Waingapu,ID,82.69,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
447,Meulaboh,ID,77.2,scattered clouds,4.1363,96.1285,Kost Pria
455,Kiunga,PG,88.68,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
463,Wukari,NG,79.12,clear sky,7.85,9.7833,Elimtop
468,Charters Towers,AU,86.94,scattered clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
469,Trincomalee,LK,77.65,broken clouds,8.5711,81.2335,Welcombe Hotel
474,Itarema,BR,78.08,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
475,Soyo,AO,80.13,overcast clouds,-6.1349,12.3689,Hotel Mpampa
481,Contamana,PE,75.85,broken clouds,-7.3333,-75.0167,Shiringal Touristic Park
482,Karratha,AU,82.58,few clouds,-20.7377,116.8463,ibis Styles Karratha
483,Conde,BR,78.8,few clouds,-7.2597,-34.9075,Pousada Beija Flor
485,Makakilo City,US,77.0,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
493,Sao Miguel,BR,78.8,few clouds,-5.4667,-35.3667,CEJ - Centro Escoteiro da Juventude
495,Anori,BR,76.42,moderate rain,-3.7728,-61.6442,Novo Hotel 05 Irmaos
500,Luwuk,ID,81.54,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
505,Kavieng,PG,83.3,light rain,-2.5744,150.7967,Nusa Island Retreat
506,Belmonte,BR,80.6,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
509,Fare,PF,81.16,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
513,Phuket,TH,78.8,few clouds,8.0,98.25,The Surin Phuket
518,Omboue,GA,78.87,light rain,-1.5746,9.2618,Hotel Olako
519,Cockburn Town,TC,76.98,few clouds,21.4612,-71.1419,Osprey Beach Hotel
520,Kolokani,ML,75.76,scattered clouds,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
522,West Bay,KY,79.0,few clouds,19.3667,-81.4167,Calypso Cove
523,Ranau,MY,80.6,few clouds,5.9538,116.6641,Ranau Backpackers Hostel
525,Ancud,CL,75.2,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
527,Ahuimanu,US,75.2,light rain,21.4447,-157.8378,Paradise Bay Resort
529,Harper,LR,79.14,clear sky,4.375,-7.7169,Screensaver
530,Ternate,ID,82.74,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
534,Grenville,GD,78.8,few clouds,12.1167,-61.6167,Valley Breeze Guest House
541,Itaituba,BR,81.63,overcast clouds,-4.2761,-55.9836,Hotel Campos
543,Biak,ID,80.01,overcast clouds,-0.9131,122.8766,Penginapan Kim
544,Jizan,SA,77.0,scattered clouds,17.3333,42.6667,شهدان. ابوالحجر
545,Port Macquarie,AU,84.0,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
546,Angoche,MZ,77.36,overcast clouds,-16.2325,39.9086,Guest House HESADA
549,Saint-Georges,GD,78.8,few clouds,12.0564,-61.7485,Siesta Hotel
555,Oistins,BB,78.8,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
557,Sisophon,KH,75.22,few clouds,13.5859,102.9737,Pyramid Hotel
562,Dalby,AU,87.01,overcast clouds,-27.1833,151.2667,Kobbers Motor Inn Dalby
584,Laem Sing,TH,81.0,clear sky,12.4816,102.0738,Laemsing Whitehouse Resort
587,Savannah Bight,HN,82.4,clear sky,16.45,-85.85,Villa on Dunbar Rock
588,Nargana,PA,78.64,broken clouds,9.4428,-78.5906,Dubbir
595,Kathu,TH,78.8,few clouds,7.9178,98.3332,Novotel Phuket Resort
596,Urucara,BR,81.0,broken clouds,-2.5364,-57.76,Hotel japa
600,Alyangula,AU,78.8,moderate rain,-13.8483,136.4192,Groote Eylandt Lodge
601,Lamu,KE,78.8,few clouds,-2.2717,40.902,Lamu House
602,Areia Branca,BR,79.61,clear sky,-4.9561,-37.1369,Areia Branca Apart Hotel
605,Carutapera,BR,77.5,few clouds,-1.195,-46.02,Lidera
612,Cacoal,BR,75.7,moderate rain,-11.4386,-61.4472,Hotel BR 364
613,Luanda,AO,78.8,few clouds,-8.8368,13.2343,EPIC SANA Luanda
614,Kabanjahe,ID,75.2,haze,3.1001,98.4908,Kos-Kosan wanita muslim bagoes kabanjahe
627,Daru,PG,86.86,overcast clouds,-9.0763,143.2092,Daru Lodge
631,Lorengau,PG,83.17,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
639,Beitbridge,ZW,75.31,overcast clouds,-22.2167,30.0,PETERS MOTEL & CONFERENCE CENTRE
646,Vung Tau,VN,76.21,overcast clouds,10.345999999999998,107.0843,Seaside Resort
656,Yenagoa,NG,79.3,clear sky,4.9247,6.2642,Aridolf Resort Wellness and Spa
658,Moranbah,AU,86.47,broken clouds,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
659,Buritizeiro,BR,75.33,overcast clouds,-17.3511,-44.9622,Santos Palace Hotel
660,Neuquen,AR,89.6,clear sky,-38.9516,-68.0591,Hotel del Comahue
666,Olinda,BR,78.8,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
670,Ixtapa,MX,75.2,clear sky,20.7,-105.2,Container Inn Puerto Vallarta
672,Butterworth,MY,81.0,few clouds,5.3991,100.3638,Cititel Penang
673,Bowen,AU,84.2,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
680,Kandrian,PG,84.31,moderate rain,-6.2167,149.55,Kandrian Station
681,Port Hedland,AU,84.2,few clouds,-20.3167,118.5667,The Esplanade Hotel
687,Bairiki,KI,86.0,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
